"sample","bottom","mid","top","total"
"6736.m.2","9","546","542","1097"
"6736.m.3","11","287","280","578"
"6883.m.2","157","214","111","482"
"6883.m.3","84","118","66","268"
"6902.m.2","182","448","337","967"
"6902.m.3","127","253","157","537"
"6905.m.2","8","3951","3946","7905"
"6905.m.3","4","1655","1653","3312"
"6907.m.2","111","339","283","733"
"6907.m.3","63","203","168","434"
"6918.m.2","141","345","258","744"
"6918.m.3","129","284","208","621"
"6921.m.2","1","1205","1205","2411"
"6921.m.3","3","707","707","1417"
"6922.m.2","152","199","103","454"
"6922.m.3","80","129","80","289"
"6924.m.2","145","496","396","1037"
"6924.m.3","81","298","239","618"
"6927.m.2","219","697","537","1453"
"6927.m.3","137","397","290","824"
"6933.m.2","216","254","75","545"
"6933.m.3","179","207","52","438"
"6934.m.2","270","527","358","1155"
"6934.m.3","173","286","156","615"
"6938.m.2","5","585","583","1173"
"6938.m.3","35","103","81","219"
"6943.m.2","168","230","124","522"
"6943.m.3","103","150","71","324"
"6944.m.2","82","212","145","439"
"6944.m.3","54","108","75","237"
"6947.m.2","205","296","141","642"
"6947.m.3","119","180","81","380"
"6959.m.2","198","471","346","1015"
"6959.m.3","138","269","165","572"
"6963.m.2","77","536","482","1095"
"6963.m.3","71","156","93","320"
"6967.m.2","17","1485","1474","2976"
"6967.m.3","34","125","98","257"
"6969.m.2","91","245","200","536"
"6969.m.3","57","134","93","284"
"6972.m.2","163","343","236","742"
"6972.m.3","91","169","102","362"
"6976.m.2","338","710","462","1510"
"6976.m.3","237","386","199","822"
"6977.m.2","96","847","788","1731"
"6977.m.3","72","250","214","536"
"6980.m.2","179","1038","907","2124"
"6980.m.3","105","678","598","1381"
"6992.m.2","206","298","136","640"
"6992.m.3","156","257","120","533"
"6998.m.2","6","1462","1459","2927"
"6998.m.3","5","811","813","1629"
"9004.m.2","154","635","542","1331"
"9004.m.3","118","392","307","817"
"9010.m.2","174","1183","1092","2449"
"9010.m.3","117","280","192","589"
"9013.m.2","75","987","934","1996"
"9013.m.3","59","405","362","826"
"9016.m.2","223","749","645","1617"
"9016.m.3","149","377","298","824"
"9018.m.2","58","187","142","387"
"9018.m.3","51","109","70","230"
