"sample","bottom","mid","top","total"
"9001.d.24","6","5","8","19"
"9001.d.25","5","1","6","12"
"9001.d.26","7","2","7","16"
"9001.d.27","8","4","8","20"
"9001.d.28","8","3","10","21"
"9001.d.29","6","3","8","17"
"9001.d.30","7","4","7","18"
"9001.d.31","11","5","11","27"
"9001.d.32","9","5","10","24"
"9001.d.33","8","5","10","23"
"9001.d.34","10","4","12","26"
"9001.d.35","8","4","10","22"
"9001.d.36","6","5","5","16"
"9001.d.37","7","7","4","18"
"9001.d.38","8","9","4","21"
"9001.d.39","9","11","3","23"
"9001.d.40","10","13","4","27"
"9001.d.41","8","10","3","21"
"9001.d.42","5","7","2","14"
"9001.d.43","5","5","2","12"
"9001.d.44","8","7","1","16"
"9001.d.45","9","10","2","21"
"9001.d.46","6","7","3","16"
"9001.d.47","3","2","1","6"
"9001.d.48","4","5","1","10"
"9001.d.49","7","7","3","17"
"9001.d.50","7","6","4","17"
"9001.d.51","7","6","2","15"
"9001.d.52","7","8","3","18"
"9001.d.53","5","7","3","15"
"9001.d.54","6","6","3","15"
"9001.d.55","6","7","2","15"
"9001.d.56","6","5","2","13"
"9001.d.57","7","7","1","15"
"9001.d.58","8","7","3","18"
"9001.d.59","8","7","4","19"
"9001.d.60","6","7","2","15"
"9001.d.61","5","5","3","13"
"9001.d.62","5","5","4","14"
"9001.d.63","4","6","4","14"
"9001.d.64","6","7","3","16"
"9001.d.65","7","9","4","20"
"9001.d.66","8","10","5","23"
"9001.d.67","6","8","3","17"
"9001.d.68","8","8","3","19"
"9001.d.69","8","8","5","21"
"9001.d.70","5","6","4","15"
"9001.d.71","6","7","5","18"
"9001.d.72","9","10","6","25"
"9001.d.73","12","14","6","32"
"9001.d.74","12","16","5","33"
"9001.d.75","9","10","2","21"
"9001.d.76","8","9","2","19"
"9001.d.77","8","9","4","21"
"9019.d.2","4","10","11","25"
"9019.d.3","7","11","14","32"
"9019.d.4","8","13","19","40"
"9019.d.5","5","11","17","33"
"9019.d.6","1","8","9","18"
"9019.d.7","3","7","11","21"
"9019.d.8","6","9","15","30"
"9019.d.9","4","8","11","23"
"9019.d.10","3","8","7","18"
"9019.d.11","4","8","5","17"
"9019.d.12","4","6","4","14"
"9019.d.13","3","3","3","9"
"9019.d.14","1","6","5","12"
"9019.d.15","1","11","10","22"
"9019.d.16","3","9","8","20"
"9019.d.17","3","7","6","16"
"9019.d.18","2","7","8","17"
"9019.d.19","4","9","9","22"
"9019.d.20","4","13","14","31"
"9019.d.21","2","14","13","29"
"9019.d.22","2","8","8","18"
"9019.d.23","3","8","10","21"
"9019.d.24","8","13","16","37"
"9019.d.25","10","10","13","33"
