"sample","bottom","mid","top","total"
"6736.w.2","1","111","113","225"
"6736.w.3","2","140","140","282"
"6736.w.4","1","141","140","282"
"6736.w.5","1","138","138","277"
"6736.w.6","2","136","136","274"
"6736.w.7","8","128","122","258"
"6736.w.8","4","136","133","273"
"6736.w.9","3","151","150","304"
"6883.w.2","36","59","38","133"
"6883.w.3","38","58","35","131"
"6883.w.4","26","40","26","92"
"6883.w.5","57","77","41","175"
"6883.w.6","42","52","21","115"
"6883.w.7","36","47","27","110"
"6883.w.8","32","46","27","105"
"6883.w.9","46","62","31","139"
"6902.w.2","25","124","112","261"
"6902.w.3","39","92","80","211"
"6902.w.4","48","120","96","264"
"6902.w.5","45","125","99","269"
"6902.w.6","48","106","70","224"
"6902.w.7","43","106","77","226"
"6902.w.8","61","121","75","257"
"6902.w.9","66","135","86","287"
"6905.w.2","0","600","600","1200"
"6905.w.3","2","932","933","1867"
"6905.w.4","2","1080","1079","2161"
"6905.w.5","4","1020","1018","2042"
"6905.w.6","1","972","972","1945"
"6905.w.7","4","867","865","1736"
"6905.w.8","2","769","767","1538"
"6905.w.9","1","817","817","1635"
"6907.w.2","18","123","119","260"
"6907.w.3","26","93","80","199"
"6907.w.4","28","87","70","185"
"6907.w.5","27","72","56","155"
"6907.w.6","32","92","81","205"
"6907.w.7","26","87","76","189"
"6907.w.8","27","86","72","185"
"6907.w.9","30","93","80","203"
"6918.w.2","23","49","37","109"
"6918.w.3","32","63","39","134"
"6918.w.4","27","54","38","119"
"6918.w.5","33","63","41","137"
"6918.w.6","34","78","64","176"
"6918.w.7","56","166","140","362"
"6918.w.8","53","137","107","297"
"6918.w.9","65","131","92","288"
"6921.w.2","0","249","249","498"
"6921.w.3","0","300","300","600"
"6921.w.4","1","293","294","588"
"6921.w.5","0","317","318","635"
"6921.w.6","0","335","336","671"
"6921.w.7","0","307","307","614"
"6921.w.8","1","297","298","596"
"6921.w.9","2","365","365","732"
"6922.w.2","49","67","31","147"
"6922.w.3","50","63","32","145"
"6922.w.4","27","43","20","90"
"6922.w.5","46","60","29","135"
"6922.w.6","38","50","23","111"
"6922.w.7","34","56","39","129"
"6922.w.8","28","43","24","95"
"6922.w.9","45","72","50","167"
"6924.w.2","29","129","105","263"
"6924.w.3","43","158","128","329"
"6924.w.4","39","128","105","272"
"6924.w.5","39","127","98","264"
"6924.w.6","38","116","87","241"
"6924.w.7","30","128","110","268"
"6924.w.8","36","139","110","285"
"6924.w.9","44","150","119","313"
"6927.w.2","54","193","161","408"
"6927.w.3","64","203","159","426"
"6927.w.4","55","198","158","411"
"6927.w.5","61","176","136","373"
"6927.w.6","45","150","110","305"
"6927.w.7","56","170","122","348"
"6927.w.8","54","165","121","340"
"6927.w.9","77","212","154","443"
"6933.w.2","46","60","20","126"
"6933.w.3","43","59","27","129"
"6933.w.4","45","50","18","113"
"6933.w.5","52","60","18","130"
"6933.w.6","62","74","15","151"
"6933.w.7","67","79","23","169"
"6933.w.8","63","79","25","167"
"6933.w.9","109","119","26","254"
"6934.w.2","65","136","85","286"
"6934.w.3","76","153","106","335"
"6934.w.4","72","167","128","367"
"6934.w.5","65","123","84","272"
"6934.w.6","65","116","68","249"
"6934.w.7","68","129","86","283"
"6934.w.8","76","124","65","265"
"6934.w.9","92","153","86","331"
"6938.w.2","1","145","143","289"
"6938.w.3","1","154","153","308"
"6938.w.4","1","172","172","345"
"6938.w.5","0","168","169","337"
"6938.w.6","2","139","139","280"
"6938.w.7","4","102","101","207"
"6938.w.8","15","55","45","115"
"6938.w.9","20","39","27","86"
"6943.w.2","23","36","20","79"
"6943.w.3","37","47","25","109"
"6943.w.4","35","53","37","125"
"6943.w.5","51","67","33","151"
"6943.w.6","41","58","31","130"
"6943.w.7","44","63","29","136"
"6943.w.8","42","62","30","134"
"6943.w.9","51","73","37","161"
"6944.w.2","20","66","53","139"
"6944.w.3","25","73","57","155"
"6944.w.4","17","57","45","119"
"6944.w.5","22","48","30","100"
"6944.w.6","19","35","20","74"
"6944.w.7","20","48","31","99"
"6944.w.8","21","51","38","110"
"6944.w.9","27","45","31","103"
"6947.w.2","97","114","20","231"
"6947.w.3","67","82","26","175"
"6947.w.4","63","76","34","173"
"6947.w.5","46","77","40","163"
"6947.w.6","43","71","38","152"
"6947.w.7","46","73","41","160"
"6947.w.8","52","85","43","180"
"6947.w.9","62","88","34","184"
"6959.w.2","16","68","61","145"
"6959.w.3","36","86","67","189"
"6959.w.4","42","116","91","249"
"6959.w.5","49","117","86","252"
"6959.w.6","63","137","97","297"
"6959.w.7","54","135","96","285"
"6959.w.8","66","122","70","258"
"6959.w.9","64","127","80","271"
"6963.w.2","16","26","11","53"
"6963.w.3","19","29","12","60"
"6963.w.4","19","33","22","74"
"6963.w.5","17","408","399","824"
"6963.w.6","22","72","56","150"
"6963.w.7","27","79","56","162"
"6963.w.8","32","101","73","206"
"6963.w.9","35","48","16","99"
"6967.w.2","1","363","364","728"
"6967.w.3","0","436","436","872"
"6967.w.4","2","486","485","973"
"6967.w.5","2","466","465","933"
"6967.w.6","3","351","350","704"
"6967.w.7","16","175","164","355"
"6967.w.8","18","62","46","126"
"6967.w.9","16","35","23","74"
"6969.w.2","15","116","113","244"
"6969.w.3","17","33","26","76"
"6969.w.4","16","50","40","106"
"6969.w.5","15","63","57","135"
"6969.w.6","24","53","41","118"
"6969.w.7","34","98","82","214"
"6969.w.8","23","56","41","120"
"6969.w.9","27","67","51","145"
"6972.w.2","42","105","80","227"
"6972.w.3","49","92","59","200"
"6972.w.4","41","94","70","205"
"6972.w.5","43","92","65","200"
"6972.w.6","47","92","59","198"
"6972.w.7","33","71","51","155"
"6972.w.8","41","72","43","156"
"6972.w.9","45","89","57","191"
"6976.w.2","62","126","79","267"
"6976.w.3","79","157","100","336"
"6976.w.4","66","182","137","385"
"6976.w.5","94","218","147","459"
"6976.w.6","95","174","110","379"
"6976.w.7","91","175","102","368"
"6976.w.8","102","171","93","366"
"6976.w.9","125","183","80","388"
"6977.w.2","17","249","241","507"
"6977.w.3","19","259","248","526"
"6977.w.4","27","264","251","542"
"6977.w.5","30","178","161","369"
"6977.w.6","23","199","185","407"
"6977.w.7","22","158","143","323"
"6977.w.8","30","108","97","235"
"6977.w.9","41","122","100","263"
"6980.w.2","33","291","267","591"
"6980.w.3","46","274","234","554"
"6980.w.4","43","266","235","544"
"6980.w.5","54","262","225","541"
"6980.w.6","44","272","238","554"
"6980.w.7","47","253","218","518"
"6980.w.8","45","280","246","571"
"6980.w.9","51","375","336","762"
"6992.w.2","21","56","39","116"
"6992.w.3","34","55","27","116"
"6992.w.4","46","62","33","141"
"6992.w.5","59","83","33","175"
"6992.w.6","55","80","32","167"
"6992.w.7","64","96","47","207"
"6992.w.8","66","100","44","210"
"6992.w.9","81","144","69","294"
"6998.w.2","1","242","242","485"
"6998.w.3","2","345","343","690"
"6998.w.4","0","341","341","682"
"6998.w.5","0","399","400","799"
"6998.w.6","4","386","386","776"
"6998.w.7","1","403","403","807"
"6998.w.8","1","395","396","792"
"6998.w.9","4","384","385","773"
"9004.w.2","45","190","150","385"
"9004.w.3","45","178","152","375"
"9004.w.4","44","180","158","382"
"9004.w.5","34","170","153","357"
"9004.w.6","38","146","120","304"
"9004.w.7","42","179","150","371"
"9004.w.8","45","161","132","338"
"9004.w.9","65","206","160","431"
"9010.w.2","55","153","118","326"
"9010.w.3","54","203","175","432"
"9010.w.4","38","207","183","428"
"9010.w.5","37","208","192","437"
"9010.w.6","46","626","601","1273"
"9010.w.7","50","395","371","816"
"9010.w.8","46","130","99","275"
"9010.w.9","65","128","73","266"
"9013.w.2","14","291","281","586"
"9013.w.3","28","305","289","622"
"9013.w.4","14","298","288","600"
"9013.w.5","19","225","211","455"
"9013.w.6","22","214","199","435"
"9013.w.7","16","201","187","404"
"9013.w.8","30","155","134","319"
"9013.w.9","25","218","199","442"
"9016.w.2","29","90","80","199"
"9016.w.3","45","139","123","307"
"9016.w.4","55","182","167","404"
"9016.w.5","59","211","178","448"
"9016.w.6","60","176","144","380"
"9016.w.7","65","226","187","478"
"9016.w.8","68","158","125","351"
"9016.w.9","74","168","127","369"
"9018.w.2","6","44","38","88"
"9018.w.3","15","57","44","116"
"9018.w.4","13","58","48","119"
"9018.w.5","14","42","31","87"
"9018.w.6","8","32","30","70"
"9018.w.7","26","54","31","111"
"9018.w.8","19","37","20","76"
"9018.w.9","26","55","40","121"
