"sample","bottom","mid","top","total"
"6736.d.2","0","20","21","41"
"6736.d.3","0","22","23","45"
"6736.d.4","0","24","24","48"
"6736.d.5","0","27","26","53"
"6736.d.6","0","34","34","68"
"6736.d.7","1","30","32","63"
"6736.d.8","1","26","27","54"
"6736.d.9","0","32","32","64"
"6736.d.10","1","28","29","58"
"6736.d.11","1","32","33","66"
"6736.d.12","1","39","37","77"
"6736.d.13","1","36","34","71"
"6736.d.14","0","38","38","76"
"6736.d.15","0","40","40","80"
"6736.d.16","0","35","36","71"
"6736.d.17","1","33","31","65"
"6736.d.18","1","35","33","69"
"6736.d.19","0","37","38","75"
"6736.d.20","0","37","37","74"
"6736.d.21","0","38","38","76"
"6736.d.22","0","39","40","79"
"6736.d.23","0","33","33","66"
"6736.d.24","0","32","32","64"
"6736.d.25","1","35","36","72"
"6736.d.26","1","36","37","74"
"6736.d.27","0","35","34","69"
"6736.d.28","0","34","34","68"
"6736.d.29","0","36","35","71"
"6736.d.30","0","35","35","70"
"6736.d.31","0","34","33","67"
"6736.d.32","0","35","36","71"
"6736.d.33","0","35","35","70"
"6736.d.34","1","33","34","68"
"6736.d.35","2","34","34","70"
"6736.d.36","1","31","30","62"
"6736.d.37","0","33","33","66"
"6736.d.38","2","37","36","75"
"6736.d.39","2","36","34","72"
"6736.d.40","1","41","40","82"
"6736.d.41","1","43","42","86"
"6736.d.42","1","28","28","57"
"6736.d.43","4","19","16","39"
"6736.d.44","4","22","18","44"
"6736.d.45","1","29","28","58"
"6736.d.46","0","34","34","68"
"6736.d.47","1","32","32","65"
"6736.d.48","1","35","33","69"
"6736.d.49","1","37","35","73"
"6736.d.50","2","37","36","75"
"6736.d.51","1","38","38","77"
"6736.d.52","1","40","39","80"
"6736.d.53","1","36","34","71"
"6736.d.54","0","35","35","70"
"6736.d.55","0","38","37","75"
"6736.d.56","1","32","32","65"
"6736.d.57","1","27","28","56"
"6736.d.58","0","27","27","54"
"6736.d.59","1","25","24","50"
"6736.d.60","1","16","16","33"
"6883.d.2","6","10","8","24"
"6883.d.3","10","16","11","37"
"6883.d.4","9","15","9","33"
"6883.d.5","8","13","8","29"
"6883.d.6","8","12","8","28"
"6883.d.7","8","14","8","30"
"6883.d.8","9","15","8","32"
"6883.d.9","10","15","10","35"
"6883.d.10","12","20","14","46"
"6883.d.11","11","19","13","43"
"6883.d.12","9","16","9","34"
"6883.d.13","10","14","8","32"
"6883.d.14","10","11","6","27"
"6883.d.15","8","12","5","25"
"6883.d.16","7","10","6","23"
"6883.d.17","7","10","6","23"
"6883.d.18","5","8","5","18"
"6883.d.19","4","7","5","16"
"6883.d.20","5","7","5","17"
"6883.d.21","6","8","4","18"
"6883.d.22","7","11","6","24"
"6883.d.23","9","15","11","35"
"6883.d.24","11","15","9","35"
"6883.d.25","13","20","11","44"
"6883.d.26","15","24","14","53"
"6883.d.27","16","21","11","48"
"6883.d.28","17","20","9","46"
"6883.d.29","17","21","10","48"
"6883.d.30","14","18","9","41"
"6883.d.31","14","16","5","35"
"6883.d.32","14","15","5","34"
"6883.d.33","10","10","4","24"
"6883.d.34","7","10","4","21"
"6883.d.35","7","12","5","24"
"6883.d.36","10","15","7","32"
"6883.d.37","11","13","7","31"
"6883.d.38","9","10","5","24"
"6883.d.39","8","13","7","28"
"6883.d.40","11","15","8","34"
"6883.d.41","12","13","6","31"
"6883.d.42","10","13","8","31"
"6883.d.43","9","15","11","35"
"6883.d.44","6","9","6","21"
"6883.d.45","6","9","7","22"
"6883.d.46","11","16","10","37"
"6883.d.47","11","13","5","29"
"6883.d.48","7","12","7","26"
"6883.d.49","8","13","9","30"
"6883.d.50","9","10","6","25"
"6883.d.51","7","10","6","23"
"6883.d.52","6","9","4","19"
"6883.d.53","6","10","5","21"
"6883.d.54","11","16","7","34"
"6883.d.55","13","16","5","34"
"6883.d.56","9","10","4","23"
"6883.d.57","9","8","6","23"
"6883.d.58","8","8","5","21"
"6883.d.59","11","15","6","32"
"6883.d.60","12","18","11","41"
"6902.d.2","4","28","25","57"
"6902.d.3","3","57","54","114"
"6902.d.4","4","43","41","88"
"6902.d.5","5","30","29","64"
"6902.d.6","4","23","23","50"
"6902.d.7","6","12","8","26"
"6902.d.8","10","20","12","42"
"6902.d.9","11","25","21","57"
"6902.d.10","8","26","25","59"
"6902.d.11","7","22","22","51"
"6902.d.12","8","16","17","41"
"6902.d.13","11","26","23","60"
"6902.d.14","12","30","22","64"
"6902.d.15","11","20","14","45"
"6902.d.16","11","19","16","46"
"6902.d.17","12","27","20","59"
"6902.d.18","12","28","21","61"
"6902.d.19","12","30","25","67"
"6902.d.20","11","35","30","76"
"6902.d.21","10","31","25","66"
"6902.d.22","12","29","21","62"
"6902.d.23","13","32","26","71"
"6902.d.24","12","31","26","69"
"6902.d.25","10","31","25","66"
"6902.d.26","11","37","31","79"
"6902.d.27","11","31","26","68"
"6902.d.28","9","25","20","54"
"6902.d.29","12","35","26","73"
"6902.d.30","13","31","22","66"
"6902.d.31","11","25","16","52"
"6902.d.32","15","30","19","64"
"6902.d.33","14","28","18","60"
"6902.d.34","14","28","19","61"
"6902.d.35","13","24","15","52"
"6902.d.36","10","21","12","43"
"6902.d.37","9","28","20","57"
"6902.d.38","13","35","27","75"
"6902.d.39","14","34","25","73"
"6902.d.40","12","36","27","75"
"6902.d.41","13","36","27","76"
"6902.d.42","10","22","15","47"
