"tagname","week","bottom_mean","middle_mean","top_mean","activity","weekFac"
6913,10,0.20260822594336,0.587360135812949,0.210031638243692,"high","10"
6913,11,0.294198185486093,0.556539856470407,0.1492619580435,"high","11"
6913,12,0.22639312998137,0.595411903475797,0.178194966542833,"high","12"
6913,13,0.12238378181738,0.757569477362671,0.120046740819949,"high","13"
6913,14,0.108425473746872,0.652706888759053,0.238867637494075,"high","14"
6913,15,0.0620837145723325,0.673504348880535,0.264411936547132,"high","15"
6913,16,0.0967424735153727,0.563767045517181,0.339490480967447,"high","16"
6913,17,0.177306450012677,0.524024120026898,0.298669429960425,"high","17"
6913,18,0.104225414218469,0.70546448689824,0.190310098883291,"high","18"
6922,10,0.522347403349023,0.417424183964812,0.0602284126861641,"high","10"
6922,11,0.708522482995822,0.228639775996825,0.0628377410073528,"high","11"
6922,12,0.568037657226638,0.366273852700274,0.0656884900730877,"high","12"
6922,13,0.673630019953039,0.268693572034879,0.0576764080120821,"high","13"
6922,14,0.54826981799742,0.381892341781222,0.0698378402213574,"high","14"
6922,15,0.617435207743102,0.301070408871937,0.0814943833849614,"high","15"
6922,16,0.661717725133112,0.257191361767332,0.0810909130995557,"high","16"
6922,17,0.654735263964371,0.284614112640967,0.0606506233946623,"high","17"
6922,18,0.652914135790901,0.232456208040744,0.114629656168355,"high","18"
6925,10,0,0.412639864187052,0.587360135812949,"medium","10"
6925,11,4.40951131590829e-05,0.329317738361646,0.670638166525195,"medium","11"
6925,12,0.788916693307464,0.0627010461565597,0.148382260535976,"medium","12"
6925,13,0.675709104538489,0.240843098563602,0.0834477968979088,"medium","13"
6925,14,0.851020250680718,0.0565497778708675,0.0924299714484141,"medium","14"
6925,15,0.846848852975869,0.0850616780395314,0.0680894689845997,"medium","15"
6925,16,0.695521773980883,0.114562807659697,0.18991541835942,"medium","16"
6925,17,0.637408089248509,0.124374676176513,0.238217234574978,"medium","17"
6925,18,0.700155435273886,0.0743223132296363,0.225522251496478,"medium","18"
6928,10,0.601774828304653,0.00344162358206652,0.394783548113281,"low","10"
6928,11,0.454715421163449,0.125377840000882,0.419906738835669,"low","11"
6928,12,0.572125274216485,0.206129220729113,0.221745505054402,"low","12"
6928,13,0.494731736355319,0.199062978845369,0.306205284799312,"low","13"
6928,14,0.420762184030955,0.197810677631652,0.381427138337394,"low","14"
6928,15,0.479219075545953,0.117526705102907,0.40325421935114,"low","15"
6928,16,0.556793403371071,0.123545688049122,0.319660908579806,"low","16"
6928,17,0.469765083284645,0.179076868806015,0.35115804790934,"low","17"
6928,18,0.53451875695876,0.171038329677113,0.294442913364126,"low","18"
6929,10,0.763592869820202,0.0830696813025699,0.153337448877228,"low","10"
6929,11,0.738467474342156,0.224351526242104,0.0371809994157398,"low","11"
6929,12,0.828835999250383,0.0815362737424626,0.0896277270071544,"low","12"
6929,13,0.908240274271604,0.036784143397308,0.0549755823310882,"low","13"
6929,14,0.870428714737689,0.00634528678359222,0.123225998478719,"low","14"
6929,15,0.844000308665792,0.069663664524379,0.0863360268098288,"low","15"
6929,16,0.831563281999272,0.016368106004652,0.152068611996076,"low","16"
6929,17,0.877944726775655,0.0373198990221909,0.0847353742021541,"low","17"
6929,18,0.792733125351383,0.157520972738196,0.0497459019104208,"low","18"
6931,10,0.748638012192299,0.0972374411605835,0.154124546647117,"low","10"
6931,11,0.695388753541389,0.191169953589893,0.113441292868718,"low","11"
6931,12,0.866768820345485,0.0664976353995569,0.0667335442549579,"low","12"
6931,13,0.627462436475478,0.266848191549172,0.105689371975351,"low","13"
6931,14,0.816692205086371,0.0802839725287445,0.103023822384884,"low","14"
6931,15,0.688170383517247,0.165927706061976,0.145901910420778,"low","15"
6931,16,0.678936866821734,0.145738758502089,0.175324374676176,"low","16"
6931,17,0.631078235754522,0.199823619547364,0.169098144698114,"low","17"
6931,18,0.456133079051514,0.338180856106622,0.205686064841864,"low","18"
6934,10,0.420719191295625,0.530882012500965,0.0483987962034108,"high","10"
6934,11,0.539979936723513,0.37650612370884,0.0835139395676475,"high","11"
6934,12,0.455976541399799,0.472851741205781,0.0711717173944198,"high","12"
6934,13,0.548659423096207,0.321564794795377,0.129775782108416,"high","13"
6934,14,0.496768930583268,0.40136915326359,0.101861916153142,"high","14"
6934,15,0.47944837013438,0.442913364126421,0.0776382657391995,"high","15"
6934,16,0.501174032387861,0.412864749264163,0.0859612183479766,"high","16"
6934,17,0.532730700120159,0.395028275991313,0.0722410238885276,"high","17"
6934,18,0.617538831259026,0.303295007330813,0.0791661614101617,"high","18"
6935,10,0.16492013272629,0.176788332433058,0.658291534840652,"medium","10"
6935,11,0.433992922734338,0.198291314365086,0.367715762900577,"medium","11"
6935,12,0.61387011784419,0.104258485553339,0.281871396602471,"medium","12"
6935,13,0.434923329621995,0.297580280665395,0.26749638971261,"medium","13"
6935,14,0.445014496268451,0.262185133332599,0.292800370398951,"medium","14"
6935,15,0.338831259025719,0.526352342001698,0.134816398972584,"medium","15"
6935,16,0.298336511856073,0.475023425528866,0.226640062615061,"medium","16"
6935,17,0.379687586123268,0.418969717681038,0.201342696195694,"medium","17"
6935,18,0.32065966289286,0.397307993341638,0.282032343765502,"medium","18"
6939,10,0.904776603132958,0.0825912493247935,0.0126321475422487,"low","10"
6939,11,0.898665020449109,0.033845204105255,0.0674897754456363,"low","11"
6939,12,0.943370850925446,0.0507226086668946,0.00590654040765932,"low","12"
6939,13,0.846024274359794,0.0935918776801562,0.0603838479600498,"low","13"
6939,14,0.903993914874384,0.0494284170956753,0.0465776680299405,"low","14"
